ID,AGE,EDUC,Gender,EARN,Job class
36570,41,5,1,37525,6
36592,33,4,2,37526,5
36602,54,5,2,37528,6
36628,63,3,1,37626,5
36649,58,4,2,37700,5
36667,39,4,2,37700,5
36681,58,3,1,37885,5
36695,47,3,1,37891,5
36696,44,5,1,38000,5
36699,39,4,1,38000,5
36729,41,4,1,38000,5
36764,35,4,2,38000,5
36774,47,3,1,38000,6
36779,42,4,2,38000,5
36789,33,3,1,38000,5
36802,48,4,2,38000,5
36807,59,1,1,38000,5
36817,31,2,1,38008,5
36869,27,5,2,38050,5
36891,45,5,1,38050,7
36990,46,5,1,38070,5
36994,36,5,1,38070,5
37007,45,4,2,38084,6
37027,46,6,2,38162,6
37052,46,3,1,38167,5
37070,31,4,1,38200,5
37100,49,4,1,38202,6
37121,57,3,1,38228,5
37147,49,4,2,38240,5
37158,44,5,2,38269,6
37171,34,4,2,38325,5
37200,44,4,2,38331,5
37216,47,4,1,38350,6
37225,36,3,2,38350,5
37255,52,6,2,38377,6
37268,47,6,2,38472,6
37270,34,5,1,38480,5
37276,40,4,1,38531,5
37278,36,4,2,38550,5
37282,42,4,2,38551,5
37327,38,4,2,38600,6
37328,55,3,1,38700,6
37332,32,5,1,38700,5
37339,42,6,1,38748,5
37357,49,6,1,38750,5
37406,34,3,1,38764,6
37416,59,4,1,38799,5
37426,51,4,2,38804,6
37450,42,4,1,38930,5
37502,42,4,1,38976,5
37514,27,4,1,39000,7
37523,44,3,1,39000,5
37548,40,2,1,39000,5
37576,30,5,2,39000,6
37582,41,3,2,39000,5
37615,43,3,1,39080,5
37630,36,5,1,39090,6
37638,40,4,2,39120,6
37640,29,3,2,39122,5
37650,40,3,1,39213,5
37654,39,4,2,39304,5
37675,31,4,1,39354,6
37676,41,3,1,39360,6
37687,37,5,1,39404,6
37690,34,5,1,39420,5
37693,45,3,1,39500,5
37723,35,4,1,39500,7
37726,35,4,1,39509,5
37742,53,5,1,39520,5
37747,29,3,2,39525,5
37748,63,4,1,39549,5
37764,31,4,1,39600,7
37767,50,4,2,39680,5
37772,35,3,2,39733,5
37791,48,3,1,39738,5
37824,29,4,2,39783,5
37847,50,5,2,39820,6
37866,39,4,2,39908,5
37878,34,4,2,40000,7
37881,56,2,1,40000,5
37891,43,4,1,40000,5
37900,44,3,1,40000,5
37902,49,4,1,40000,7
37905,35,4,1,40000,6
37950,50,6,2,40000,6
37961,31,5,2,40000,5
37978,38,4,2,40000,6
37980,28,3,2,40000,5
37986,37,4,1,40000,6
37992,38,4,1,40000,5
37994,44,6,2,40000,5
38021,30,3,1,40000,5
38051,42,4,2,40000,5
38069,27,3,1,40000,7
38077,65,3,1,40000,7
38079,43,3,1,40000,5
38086,55,4,1,40000,7
38132,34,5,2,40000,5
38147,41,3,1,40000,5
38157,61,4,2,40000,7
38171,33,5,1,40000,5
38172,31,3,1,40005,5
38185,61,2,1,40012,7
38201,31,4,1,40012,6
38222,39,4,2,40013,6
38229,58,5,1,40017,6
38235,38,5,2,40019,5
38241,33,6,1,40020,7
38248,42,5,2,40025,6
38253,49,6,2,40033,6
38254,32,3,2,40047,6
38258,47,3,1,40048,5
38284,49,4,1,40050,7
38285,26,6,2,40050,5
38363,39,3,1,40050,5
38370,54,3,1,40050,5
38378,50,5,2,40052,5
38403,65,3,2,40055,6
38410,30,4,1,40058,5
38413,28,3,1,40058,5
38419,41,3,1,40065,5
38440,42,3,1,40081,5
38448,33,5,2,40081,5
38453,45,5,1,40086,5
38479,32,5,2,40100,5
38481,65,4,2,40100,6
38507,56,6,2,40101,5
38530,56,4,1,40128,5
38568,58,6,1,40160,5
38580,53,3,1,40169,5
38598,33,5,1,40200,5
38618,27,6,2,40200,6
38690,49,3,1,40206,5
38691,51,5,1,40211,5
38693,39,3,1,40212,5
38709,36,6,1,40242,5
38714,50,3,1,40250,5
38718,44,3,2,40253,5
38721,46,4,2,40300,6
38725,60,4,2,40304,5
38729,48,3,1,40332,5
38741,51,6,1,40342,6
38778,48,3,2,40350,6
38783,43,3,1,40371,7
38874,45,3,2,40454,6
38890,50,6,2,40500,5
38920,65,4,1,40521,5
39031,37,5,1,40550,7
39034,31,4,2,40565,5
39038,58,3,2,40606,5
39042,48,4,1,40650,7
39048,36,5,1,40700,6
39061,44,5,2,40716,5
39072,44,5,2,40750,6
39073,33,5,2,40905,7
39105,45,4,1,40919,5
39157,28,3,2,41000,5
39188,43,3,1,41005,6
39192,34,6,2,41020,5
39220,45,5,2,41025,5
39242,26,5,1,41055,5
39249,29,5,1,41058,5
39280,30,3,1,41075,5
39303,44,3,2,41081,5
39374,52,3,2,41167,5
39442,51,4,2,41253,6
39448,64,3,1,41277,5
39451,41,3,1,41300,5
39454,26,5,1,41400,6
39460,28,4,1,41475,5
39468,53,4,1,41500,5
39470,33,6,1,41500,5
39479,63,4,1,41500,5
39502,46,3,2,41517,5
39526,61,3,1,41600,5
39528,60,6,1,41602,6
39536,41,4,2,41621,7
39553,36,5,1,41750,6
39582,51,3,1,41785,6
39599,64,5,1,41800,5
39606,49,3,1,41865,5
39609,36,3,2,41869,6
39610,45,4,2,41925,5
39637,38,4,2,41962,6
39668,30,4,1,42000,5
39671,44,4,1,42000,5
39679,47,3,1,42000,5
39699,39,6,1,42000,5
39713,42,5,2,42000,6
39724,32,4,1,42000,7
39788,40,3,1,42000,5
39790,27,4,1,42000,5
39816,36,3,1,42000,6
39843,41,3,1,42000,5
39859,42,3,1,42000,5
39862,57,4,1,42009,5
39916,49,3,2,42014,5
39917,34,3,1,42016,5
39954,44,4,1,42020,6
39980,43,4,1,42023,5
39981,43,6,2,42038,5
39996,49,3,1,42040,7
39997,47,4,2,42050,5
40013,39,4,1,42052,5
40019,54,6,1,42075,6
40040,53,3,1,42084,6
40061,33,4,1,42100,6
40064,50,5,2,42132,6
40083,50,3,2,42169,5
40167,63,2,1,42172,7
40194,45,6,2,42211,6
40220,53,4,1,42269,5
40231,52,5,2,42288,6
40235,57,1,2,42349,5
40241,58,4,2,42354,5
40258,50,6,2,42392,6
40271,31,3,1,42407,5
40282,45,3,2,42480,5
40312,50,5,2,42489,5
40313,29,4,1,42600,6
40335,37,4,2,42620,5
40349,41,5,1,42621,6
40400,53,6,2,42684,5
40455,52,4,1,42774,5
40494,38,4,1,42833,5
40501,42,6,2,43000,5
40523,33,6,1,43000,5
40532,52,3,1,43000,5
40549,52,3,1,43000,5
40575,49,5,2,43007,5
40607,30,3,1,43011,5
40611,47,3,1,43016,6
40624,27,3,1,43050,5
40651,42,5,1,43081,5
40679,35,4,2,43096,6
40690,60,4,2,43115,5
40700,64,3,2,43169,5
40709,47,5,1,43200,6
40743,44,4,2,43400,5
40746,54,5,1,43416,5
40774,45,3,1,43442,5
40792,44,4,2,43448,5
40795,49,4,2,43500,6
40803,45,6,2,43731,5
40806,55,4,1,43760,7
40807,60,3,1,43763,7
40843,51,4,2,43800,5
40853,41,4,1,44000,5
40871,28,5,2,44003,5
40892,50,4,1,44041,6
40901,32,4,2,44080,5
40931,50,5,2,44174,5
40943,41,6,2,44200,6
40952,51,6,1,44200,6
40984,59,4,2,44213,5
41004,52,5,1,44254,5
41035,26,5,2,44350,5
41081,43,4,2,44354,5
41098,32,3,1,44490,5
41126,28,4,1,44584,5
41178,40,4,2,44694,5
41185,63,5,2,44697,6
